Mark,Total Weight (kg),Number of Records,Grade,Outturn,Bags,Pockets,Weight (kg),Status
,,,TT,17IM0028,0,20,20.00,Unknown
,,,E,17IM0028,0,4,4.00,Unknown
,,,T,17IM0028,0,33,33.00,Unknown
,,,HE,17IM0028,0,11,11.00,Unknown
,,,MH,17IM0031,0,11,11.00,Unknown
,,,ML,17IM0031,0,2,2.00,Unknown
LUZAMIZ,415,6,,,,,,
,,,AB,17KM0036,2,35,155.00,Unknown
,,,AA,17KM0036,1,30,90.00,Unknown
,,,PB,17KM0036,0,40,40.00,Unknown
,,,C,17KM0036,1,15,75.00,Unknown
,,,T,17KM0036,0,18,18.00,Unknown
,,,TT,17KM0036,0,37,37.00,Unknown
RERIA FARM,390,6,,,,,,
,,,AB,17KM0007,2,45,165.00,Unknown
,,,AA,17KM0007,1,29,89.00,Unknown
,,,PB,17KM0007,0,29,29.00,Unknown
,,,C,17KM0007,1,23,83.00,Unknown
,,,T,17KM0007,0,4,4.00,Unknown
,,,TT,17KM0007,0,20,20.00,Unknown
KIIRU FARM,186,5,,,,,,
,,,AB,17KM0006,1,18,78.00,Unknown
,,,AA,17KM0006,0,50,50.00,Unknown
,,,PB,17KM0006,0,18,18.00,Unknown
,,,C,17KM0006,0,38,38.00,Unknown
,,,T,17KM0006,0,2,2.00,Unknown
HARRY FARM,1134,6,,,,,,
,,,AB,17KM0003,7,55,475.00,Unknown
,,,AA,17KM0003,3,55,235.00,Unknown
,,,PB,17KM0003,1,14,74.00,Unknown
,,,C,17KM0003,3,63,243.00,Unknown
,,,T,17KM0003,0,43,43.00,Unknown
,,,TT,17KM0003,0,64,64.00,Unknown
DAMWA,1204,6,,,,,,
,,,AB,17KM0011,8,19,499.00,Unknown
,,,AA,17KM0011,2,19,139.00,Unknown
,,,PB,17KM0011,0,53,53.00,Unknown
,,,C,17KM0011,5,51,351.00,Unknown
,,,T,17KM0011,1,33,93.00,Unknown
,,,TT,17KM0011,1,9,69.00,Unknown
MANJOKA FARM,685,5,,,,,,
,,,AB/AA,17KM0002,5,44,350.00,Unknown
,,,PB,17KM0002,0,34,34.00,Unknown
,,,C,17KM0002,3,33,213.00,Unknown
,,,T,17KM0002,0,49,49.00,Unknown
,,,TT,17KM0002,0,39,39.00,Unknown
MAKUMI FARM,757,8,,,,,,
,,,MH,17KM0010,3,10,190.00,Unknown
,,,ML,17KM0010,0,42,42.00,Unknown
,,,AB,17KM0009,3,19,199.00,Unknown
,,,AA,17KM0009,1,47,107.00,Unknown
,,,PB,17KM0009,0,47,47.00,Unknown
,,,C,17KM0009,1,47,107.00,Unknown
,,,T,17KM0009,0,32,32.00,Unknown
,,,TT,17KM0009,0,33,33.00,Unknown
EVANS FARM,1971,8,,,,,,
,,,AA,16IM0156,12,0,720.00,Unknown
,,,AB,16IM0156,14,50,890.00,Unknown
,,,PB,16IM0156,0,62,62.00,Unknown
,,,C,16IM0156,2,52,172.00,Unknown
,,,TT,16IM0156,1,14,74.00,Unknown
,,,E,16IM0156,0,2,2.00,Unknown
,,,T,16IM0156,0,33,33.00,Unknown
,,,HE,16IM0156,0,18,18.00,Unknown
GATURA FCS,336,4,,,,,,
,,,C,15RF0009,3,12,190.00,Unknown
,,,E,15RF0009,0,47,47.00,Unknown
,,,TT,15RF0009,0,42,42.00,Unknown
,,,T,15RF0009,0,57,57.00,Unknown
KAPSARA COFFEE,1884,7,,,,,,
,,,AA,12TK0126,8,54,534.00,Unknown
,,,AB,12TK0126,14,14,854.00,Unknown
,,,C,12TK0126,2,49,169.00,Unknown
,,,E,12TK0126,0,14,14.00,Unknown
,,,PB,12TK0126,2,52,172.00,Unknown
,,,T,12TK0126,0,65,65.00,Unknown
,,,TT,12TK0126,1,16,76.00,Unknown
ISHIGA COFFEE EST,519,6,,,,,,
,,,AA,12TK0125,1,34,94.00,Unknown
,,,AB,12TK0125,3,62,242.00,Unknown
,,,C,12TK0125,1,15,75.00,Unknown
,,,PB,12TK0125,0,39,39.00,Unknown
,,,T,12TK0125,0,32,32.00,Unknown
,,,TT,12TK0125,0,37,37.00,Unknown
SHALOM ESTATE,648,18,,,,,,
,,,AA,16IM0019,0,55,55.00,Unknown
,,,AB,16IM0019,1,50,110.00,Unknown
,,,PB,16IM0019,0,16,16.00,Unknown
,,,C,16IM0019,0,24,24.00,Unknown
,,,TT,16IM0019,0,6,6.00,Unknown
,,,E,16IM0019,0,2,2.00,Unknown
,,,T,16IM0019,0,3,3.00,Unknown
,,,HE,16IM0019,0,3,3.00,Unknown
,,,AA,16IM0027,1,17,77.00,Unknown
,,,AB,16IM0027,2,34,154.00,Unknown
,,,PB,16IM0027,0,22,22.00,Unknown
,,,C,16IM0027,0,34,34.00,Unknown
,,,TT,16IM0027,0,8,8.00,Unknown
,,,E,16IM0027,0,3,3.00,Unknown
,,,T,16IM0027,0,4,4.00,Unknown
,,,HE,16IM0027,0,4,4.00,Unknown
,,,MH,16IM0018,1,41,101.00,Unknown
,,,ML,16IM0018,0,22,22.00,Unknown
NEW JOPA FARM,668,8,,,,,,
,,,AA,16IM0089,2,48,168.00,Unknown
,,,AB,16IM0089,5,37,337.00,Unknown
,,,PB,16IM0089,0,48,48.00,Unknown
,,,C,16IM0089,1,14,74.00,Unknown
,,,TT,16IM0089,0,17,17.00,Unknown
,,,E,16IM0089,0,6,6.00,Unknown
,,,T,16IM0089,0,8,8.00,Unknown
,,,HE,16IM0089,0,10,10.00,Unknown
STEVE FARM,502,10,,,,,,
,,,AA,16IM0093,2,3,123.00,Unknown
,,,AB,16IM0093,4,8,248.00,Unknown
,,,PB,16IM0093,0,36,36.00,Unknown
,,,C,16IM0093,0,55,55.00,Unknown
,,,TT,16IM0093,0,13,13.00,Unknown
,,,E,16IM0093,0,5,5.00,Unknown
,,,T,16IM0093,0,6,6.00,Unknown
,,,HE,16IM0093,0,7,7.00,Unknown
,,,MH,16IM0095,0,8,7.00,Unknown
,,,ML,16IM0095,0,2,2.00,Unknown
NJEMU ESTATE,4743,7,,,,,,
,,,AA,15KF0015,6,37,397.00,Unknown
,,,AB,15KF0015,34,26,2066.00,Unknown
,,,PB,15KF0015,3,65,245.00,Unknown
,,,C,15KF0015,24,68,1508.00,Unknown
,,,TT,15KF0015,2,28,148.00,Unknown
,,,T,15KF0015,5,37,337.00,Unknown
,,,HE,15KF0015,0,42,42.00,Unknown
MAAKIOU ESTATE,35138,16,,,,,,
,,,AA,16KF0099,37,19,4478.00,Unknown
,,,AB,16KF0099,98,63,11886.00,Unknown
,,,C,16KF0099,41,23,4966.00,Unknown
,,,E,16KF0099,0,29,58.00,Unknown
,,,HE,16KF0099,2,43,326.00,Unknown
,,,PB,16KF0099,11,63,1446.00,Unknown
,,,T,16KF0099,11,68,1456.00,Unknown
,,,TT,16KF0099,2,48,336.00,Unknown
,,,AA,16KF0100,36,41,2201.00,Unknown
,,,AB,16KF0100,61,68,3728.00,Unknown
,,,PB,16KF0100,12,21,741.00,Unknown
,,,C,16KF0100,29,67,1807.00,Unknown
,,,TT,16KF0100,11,42,702.00,Unknown
,,,T,16KF0100,10,66,666.00,Unknown
,,,E,16KF0100,0,56,56.00,Unknown
,,,HE,16KF0100,4,45,285.00,Unknown
BIMACK ESTATE,5999,6,,,,,,
,,,AA,13BU0001,16,25,985.00,Unknown
,,,PB,13BU0001,12,39,759.00,Unknown
,,,AB,13BU0001,55,41,3341.00,Unknown
,,,C,13BU0001,12,24,744.00,Unknown
,,,T,13BU0001,1,46,106.00,Unknown
,,,HE,13BU0001,1,4,64.00,Unknown
BARAMOSHO ESTATE,1024,6,,,,,,
,,,E,14BU0003,0,3,3.00,Unknown
,,,AA,14BU0003,2,19,139.00,Unknown
,,,PB,14BU0003,2,24,144.00,Unknown
,,,AB,14BU0003,10,0,600.00,Unknown
,,,C,14BU0003,2,0,120.00,Unknown
,,,T,14BU0003,0,18,18.00,Unknown
SEN ESTATE,1440,6,,,,,,
,,,E,14BU0001,0,7,7.00,Unknown
,,,AA,14BU0001,4,20,260.00,Unknown
,,,PB,14BU0001,3,7,187.00,Unknown
,,,AB,14BU0001,14,2,842.00,Unknown
,,,C,14BU0001,1,52,112.00,Unknown
,,,T,14BU0001,0,32,32.00,Unknown
EKENO,2140,3,,,,,,
,,,AB,18KM0027,6,63,846.00,Unknown
,,,AA,18KM0027,4,7,494.00,Unknown
,,,C,18KM0027,6,40,800.00,Unknown
KUKA ESTATE,73,6,,,,,,
,,,AA,16BU0002,0,1,1.00,Unknown
,,,PB,16BU0002,0,1,1.00,Unknown
,,,AB,16BU0002,0,2,2.00,Unknown
,,,T,16BU0002,0,1,1.00,Unknown
,,,MH,16BU0003,1,11,61.00,Unknown
,,,ML,16BU0003,0,7,7.00,Unknown
KAPCHORWA ESTATE,214,2,,,,,,
,,,MH,18BU0008,3,25,205.00,Unknown
,,,ML,18BU0008,0,9,9.00,Unknown
EMEIDO ESTATE,281,2,,,,,,
,,,MH,14BU0013,4,25,265.00,Unknown
,,,ML,14BU0013,0,16,16.00,Unknown
TOROREY ESTATE,550,7,,,,,,
,,,MH,16BU0005,1,31,91.00,Unknown
,,,ML,16BU0005,0,11,11.00,Unknown
,,,AA,16BU0004,2,6,6.00,Unknown
,,,PB,16BU0004,0,47,47.00,Unknown
,,,AB,16BU0004,5,7,307.00,Unknown
,,,C,16BU0004,1,18,78.00,Unknown
,,,T,16BU0004,0,10,10.00,Unknown
BARIMOSHO ESTATE,80,5,,,,,,
,,,AA,15BU0003,0,20,20.00,Unknown
,,,PB,15BU0003,0,9,9.00,Unknown
,,,AB,15BU0003,0,37,37.00,Unknown
,,,C,15BU0003,0,12,12.00,Unknown
,,,T,15BU0003,0,2,2.00,Unknown
SIKANGA ESTATE,585,8,,,,,,
,,,E,14BU0006,0,3,3.00,Unknown
,,,AA,14BU0006,3,16,169.00,Unknown
,,,PB,14BU0006,0,52,52.00,Unknown
,,,AB,14BU0006,5,8,308.00,Unknown
,,,C,14BU0006,0,25,25.00,Unknown
,,,T,14BU0006,0,5,5.00,Unknown
,,,HE,06BU0008,0,13,13.00,Unknown
,,,T,06BU0008,0,10,10.00,Unknown
FIMBO FARM,4092,8,,,,,,
,,,AA,18KM0004,13,44,824.00,Unknown
,,,AB,18KM0004,6,65,425.00,Unknown
,,,PB,18KM0004,1,57,117.00,Unknown
,,,C,18KM0004,6,17,377.00,Unknown
,,,T,18KM0004,0,47,47.00,Unknown
,,,TT,18KM0004,0,58,58.00,Unknown
,,,MH,19KM0005,27,56,1676.00,Unknown
,,,ML,19KM0005,9,28,568.00,Unknown
KYALO EDEN FARM,1133,16,,,,,,
,,,AA,14LE0006,7,39,459.00,Unknown
,,,AB,14LE0006,5,62,362.00,Unknown
,,,C,14LE0006,0,55,55.00,Unknown
,,,TT,14LE0006,0,17,17.00,Unknown
,,,T,14LE0006,0,13,13.00,Unknown
,,,PB,14LE0006,0,37,37.00,Unknown
,,,E,14LE0006,0,8,8.00,Unknown
,,,AA,16LE0014,0,19,19.00,Unknown
,,,AB,16LE0014,0,49,49.00,Unknown
,,,C,16LE0014,0,9,9.00,Unknown
,,,TT,16LE0014,0,9,9.00,Unknown
,,,T,16LE0014,0,13,13.00,Unknown
,,,PB,16LE0014,0,3,3.00,Unknown
,,,E,16LE0014,0,0,0.00,Unknown
,,,MH,16LE0015,1,9,69.00,Unknown
,,,ML,16LE0015,0,11,11.00,Unknown
WOODVALE,517,9,,,,,,
,,,AA,16LE0007,0,49,49.00,Unknown
,,,AB,16LE0007,3,0,180.00,Unknown
,,,C,16LE0007,1,14,74.00,Unknown
,,,TT,16LE0007,0,5,5.00,Unknown
,,,T,16LE0007,0,15,15.00,Unknown
,,,PB,16LE0007,0,12,12.00,Unknown
,,,E,16LE0007,0,0,0.00,Unknown
,,,MH,16LE0006,2,43,163.00,Unknown
,,,ML,16LE0006,0,19,19.00,Unknown
KAMVARA,4965,8,,,,,,
,,,AA,16KF0263,38,22,2302.00,Unknown
,,,AB,16KF0263,27,28,1648.00,Unknown
,,,PB,16KF0263,7,55,475.00,Unknown
,,,C,16KF0263,4,65,305.00,Unknown
,,,TT,16KF0263,1,40,100.00,Unknown
,,,T,16KF0263,1,17,77.00,Unknown
,,,E,16KF0263,0,33,33.00,Unknown
,,,HE,16KF0263,0,25,25.00,Unknown
BILMAR FARM,984,10,,,,,,
,,,AA,18IM0023,3,19,198.00,Unknown
,,,AB,18IM0023,7,8,428.00,Unknown
,,,PB,18IM0023,0,63,63.00,Unknown
,,,C,18IM0023,2,29,29.00,Unknown
,,,TT,18IM0023,0,8,8.00,Unknown
,,,E,18IM0023,0,5,5.00,Unknown
,,,T,18IM0023,0,50,50.00,Unknown
,,,HE,18IM0023,0,26,26.00,Unknown
,,,MH,18IM0022,2,26,145.00,Unknown
,,,ML,18IM0022,0,32,32.00,Unknown
KIREMA FARM,333,8,,,,,,
,,,AA,17IM0154,1,11,71.00,Unknown
,,,AB,17IM0154,2,34,154.00,Unknown
,,,PB,17IM0154,0,23,23.00,Unknown
,,,C,17IM0154,0,53,53.00,Unknown
,,,TT,17IM0154,0,3,3.00,Unknown
,,,E,17IM0154,0,2,2.00,Unknown
,,,T,17IM0154,0,18,18.00,Unknown
,,,HE,17IM0154,0,9,9.00,Unknown
JUAKAMA FARM,1845,8,,,,,,
,,,AA,16IM0057,6,35,395.00,Unknown
,,,AB,16IM0057,14,12,852.00,Unknown
,,,PB,16IM0057,1,65,125.00,Unknown
,,,C,16IM0057,4,56,296.00,Unknown
